op,size,threads,trial,time
mm,1024,7,10,2.206
mm,1024,7,11,2.182
mm,1024,7,12,2.255
mm,1024,7,13,2.17
mm,1024,7,14,2.168
mm,1024,7,15,2.194
mm,1024,7,16,2.284
mm,1024,7,17,2.21
mm,1024,7,18,2.177
mm,1024,7,19,2.174
mm,1024,8,0,2.34
mm,1024,8,1,2.179
mm,1024,8,2,2.352
mm,1024,8,3,2.206
mm,1024,8,4,2.279
mm,1024,8,5,2.323
mm,1024,8,6,2.224
mm,1024,8,7,2.234
mm,1024,8,8,2.18
mm,1024,8,9,2.177
mm,1024,8,10,2.201
mm,1024,8,11,2.19
mm,1024,8,12,2.203
mm,1024,8,13,2.192
mm,1024,8,14,2.213
mm,1024,8,15,2.222
mm,1024,8,16,2.136
mm,1024,8,17,2.255
mm,1024,8,18,2.35
mm,1024,8,19,2.253
sm,64,1,0,0.0
sm,64,1,1,0.0
sm,64,1,2,0.0
sm,64,1,3,0.0
sm,64,1,4,0.0
sm,64,1,5,0.0
sm,64,1,6,0.0
sm,64,1,7,0.0
sm,64,1,8,0.0
sm,64,1,9,0.0
sm,64,1,10,0.001
sm,64,1,11,0.0
sm,64,1,12,0.0
sm,64,1,13,0.0
sm,64,1,14,0.0
sm,64,1,15,0.0
sm,64,1,16,0.0
sm,64,1,17,0.0
sm,64,1,18,0.0
sm,64,1,19,0.0
sm,64,2,0,0.001
sm,64,2,1,0.001
sm,64,2,2,0.001
sm,64,2,3,0.001
sm,64,2,4,0.0
sm,64,2,5,0.001
sm,64,2,6,0.001
sm,64,2,7,0.001
sm,64,2,8,0.001
sm,64,2,9,0.001
sm,64,2,10,0.001
sm,64,2,11,0.001
sm,64,2,12,0.001
sm,64,2,13,0.001
sm,64,2,14,0.001
sm,64,2,15,0.001
sm,64,2,16,0.001
sm,64,2,17,0.001
sm,64,2,18,0.0
sm,64,2,19,0.0
sm,64,3,0,0.001
sm,64,3,1,0.001
sm,64,3,2,0.001
sm,64,3,3,0.001
sm,64,3,4,0.001
sm,64,3,5,0.001
sm,64,3,6,0.001
sm,64,3,7,0.001
sm,64,3,8,0.001
sm,64,3,9,0.001
sm,64,3,10,0.001
sm,64,3,11,0.001
sm,64,3,12,0.001
sm,64,3,13,0.001
sm,64,3,14,0.001
sm,64,3,15,0.001
sm,64,3,16,0.001
sm,64,3,17,0.001
sm,64,3,18,0.001
sm,64,3,19,0.001
sm,64,4,0,0.001
sm,64,4,1,0.001
sm,64,4,2,0.001
sm,64,4,3,0.001
sm,64,4,4,0.001
sm,64,4,5,0.001
sm,64,4,6,0.001
sm,64,4,7,0.001
sm,64,4,8,0.001
sm,64,4,9,0.001
sm,64,4,10,0.001
sm,64,4,11,0.001
sm,64,4,12,0.001
sm,64,4,13,0.001
sm,64,4,14,0.001
sm,64,4,15,0.001
sm,64,4,16,0.001
sm,64,4,17,0.001
sm,64,4,18,0.001
sm,64,4,19,0.001
sm,64,5,0,0.001
sm,64,5,1,0.001
sm,64,5,2,0.001
sm,64,5,3,0.001
sm,64,5,4,0.001
sm,64,5,5,0.001
sm,64,5,6,0.001
sm,64,5,7,0.001
sm,64,5,8,0.001
sm,64,5,9,0.001
sm,64,5,10,0.001
sm,64,5,11,0.001
