op,size,threads,trial,time
mm,256,2,49,0.078
mm,256,2,50,0.078
mm,256,2,51,0.074
mm,256,2,52,0.073
mm,256,2,53,0.076
mm,256,2,54,0.078
mm,256,2,55,0.074
mm,256,2,56,0.077
mm,256,2,57,0.078
mm,256,2,58,0.088
mm,256,2,59,0.084
mm,256,2,60,0.076
mm,256,2,61,0.076
mm,256,2,62,0.076
mm,256,2,63,0.074
mm,256,2,64,0.074
mm,256,2,65,0.081
mm,256,2,66,0.082
mm,256,2,67,0.083
mm,256,2,68,0.08
mm,256,2,69,0.078
mm,256,2,70,0.086
mm,256,2,71,0.079
mm,256,2,72,0.081
mm,256,2,73,0.096
mm,256,2,74,0.08
mm,256,2,75,0.077
mm,256,2,76,0.086
mm,256,2,77,0.084
mm,256,2,78,0.086
mm,256,2,79,0.089
mm,256,2,80,0.085
mm,256,2,81,0.091
mm,256,2,82,0.088
mm,256,2,83,0.098
mm,256,2,84,0.095
mm,256,2,85,0.092
mm,256,2,86,0.09
mm,256,2,87,0.086
mm,256,2,88,0.08
mm,256,2,89,0.08
mm,256,2,90,0.077
mm,256,2,91,0.077
mm,256,2,92,0.074
mm,256,2,93,0.075
mm,256,2,94,0.076
mm,256,2,95,0.075
mm,256,2,96,0.075
mm,256,2,97,0.076
mm,256,2,98,0.076
mm,256,2,99,0.075
mm,256,4,0,0.052
mm,256,4,1,0.056
mm,256,4,2,0.051
mm,256,4,3,0.051
mm,256,4,4,0.05
mm,256,4,5,0.053
mm,256,4,6,0.054
mm,256,4,7,0.054
mm,256,4,8,0.049
mm,256,4,9,0.051
mm,256,4,10,0.054
mm,256,4,11,0.051
mm,256,4,12,0.058
mm,256,4,13,0.047
mm,256,4,14,0.049
mm,256,4,15,0.056
mm,256,4,16,0.055
mm,256,4,17,0.055
mm,256,4,18,0.054
mm,256,4,19,0.049
mm,256,4,20,0.053
mm,256,4,21,0.057
mm,256,4,22,0.06
mm,256,4,23,0.051
mm,256,4,24,0.054
mm,256,4,25,0.054
mm,256,4,26,0.052
mm,256,4,27,0.053
mm,256,4,28,0.058
mm,256,4,29,0.055
mm,256,4,30,0.054
mm,256,4,31,0.057
mm,256,4,32,0.054
mm,256,4,33,0.057
mm,256,4,34,0.06
mm,256,4,35,0.054
mm,256,4,36,0.058
mm,256,4,37,0.05
mm,256,4,38,0.052
mm,256,4,39,0.053
mm,256,4,40,0.052
mm,256,4,41,0.048
mm,256,4,42,0.052
mm,256,4,43,0.061
mm,256,4,44,0.053
mm,256,4,45,0.06
mm,256,4,46,0.053
mm,256,4,47,0.063
mm,256,4,48,0.057
mm,256,4,49,0.058
mm,256,4,50,0.057
mm,256,4,51,0.055
mm,256,4,52,0.057
mm,256,4,53,0.056
mm,256,4,54,0.057
mm,256,4,55,0.061
mm,256,4,56,0.06
mm,256,4,57,0.058
mm,256,4,58,0.059
mm,256,4,59,0.057
mm,256,4,60,0.056
mm,256,4,61,0.05
mm,256,4,62,0.056
mm,256,4,63,0.05
mm,256,4,64,0.059
mm,256,4,65,0.059
mm,256,4,66,0.056
mm,256,4,67,0.056
mm,256,4,68,0.053
mm,256,4,69,0.058
mm,256,4,70,0.056
mm,256,4,71,0.053
mm,256,4,72,0.055
mm,256,4,73,0.063
mm,256,4,74,0.058
mm,256,4,75,0.062
mm,256,4,76,0.056
mm,256,4,77,0.051
mm,256,4,78,0.054
mm,256,4,79,0.056
mm,256,4,80,0.052
mm,256,4,81,0.058
mm,256,4,82,0.05
mm,256,4,83,0.061
mm,256,4,84,0.058
mm,256,4,85,0.057
mm,256,4,86,0.058
mm,256,4,87,0.058
mm,256,4,88,0.06
mm,256,4,89,0.057
mm,256,4,90,0.066
mm,256,4,91,0.059
mm,256,4,92,0.049
mm,256,4,93,0.059
mm,256,4,94,0.061
mm,256,4,95,0.07
mm,256,4,96,0.061
mm,256,4,97,0.057
mm,256,4,98,0.062
mm,256,4,99,0.058
mm,1024,1,0,14.255
mm,1024,1,1,9.934
mm,1024,1,2,9.882
mm,1024,1,3,9.365
mm,1024,1,4,9.646
mm,1024,1,5,9.668
mm,1024,1,6,9.608
mm,1024,1,7,9.874
mm,1024,1,8,9.678
mm,1024,1,9,11.155
mm,1024,1,10,9.898
mm,1024,1,11,9.41
mm,1024,1,12,9.142
mm,1024,1,13,9.1
mm,1024,1,14,9.087
mm,1024,1,15,9.414
mm,1024,1,16,9.39
mm,1024,1,17,9.271
mm,1024,1,18,9.292
mm,1024,1,19,9.166
mm,1024,1,20,9.607
mm,1024,1,21,9.212
mm,1024,1,22,9.126
mm,1024,1,23,9.319
mm,1024,1,24,9.312
mm,1024,1,25,9.308
mm,1024,1,26,9.213
mm,1024,1,27,9.178
mm,1024,1,28,9.406
mm,1024,1,29,9.214
mm,1024,1,30,10.069
mm,1024,1,31,9.489
mm,1024,1,32,9.387
mm,1024,1,33,9.502
mm,1024,1,34,9.434
mm,1024,1,35,9.287
mm,1024,1,36,9.765
mm,1024,1,37,9.483
mm,1024,1,38,9.235
mm,1024,1,39,9.214
mm,1024,1,40,9.227
mm,1024,1,41,9.217
mm,1024,1,42,9.218
mm,1024,1,43,9.225
mm,1024,1,44,9.304
mm,1024,1,45,9.225
mm,1024,1,46,9.424
mm,1024,1,47,9.247
mm,1024,1,48,9.195
mm,1024,1,49,9.2
mm,1024,1,50,9.357
mm,1024,1,51,9.384
mm,1024,1,52,9.318
mm,1024,1,53,9.184
mm,1024,1,54,9.172
mm,1024,1,55,10.232
mm,1024,1,56,9.779
mm,1024,1,57,9.639
mm,1024,1,58,9.14
mm,1024,1,59,9.113
mm,1024,1,60,9.161
mm,1024,1,61,9.115
mm,1024,1,62,9.094
mm,1024,1,63,9.125
mm,1024,1,64,9.12
mm,1024,1,65,9.153
mm,1024,1,66,9.16
mm,1024,1,67,9.128
mm,1024,1,68,9.126
mm,1024,1,69,9.14
mm,1024,1,70,9.095
mm,1024,1,71,9.142
mm,1024,1,72,9.125
mm,1024,1,73,9.117
mm,1024,1,74,9.117
mm,1024,1,75,9.167
mm,1024,1,76,9.489
mm,1024,1,77,9.3
mm,1024,1,78,9.161
mm,1024,1,79,9.099
mm,1024,1,80,9.131
mm,1024,1,81,9.211
mm,1024,1,82,9.105
mm,1024,1,83,9.137
mm,1024,1,84,9.124
mm,1024,1,85,9.141
mm,1024,1,86,9.149
mm,1024,1,87,9.145
mm,1024,1,88,9.171
mm,1024,1,89,9.153
mm,1024,1,90,9.134
mm,1024,1,91,9.171
mm,1024,1,92,9.125
mm,1024,1,93,9.142
mm,1024,1,94,9.135
mm,1024,1,95,9.123
mm,1024,1,96,9.09
mm,1024,1,97,9.179
mm,1024,1,98,9.197
mm,1024,1,99,9.116
mm,1024,2,0,4.94
mm,1024,2,1,4.925
mm,1024,2,2,4.867
mm,1024,2,3,4.877
mm,1024,2,4,4.885
mm,1024,2,5,4.909
mm,1024,2,6,4.883
mm,1024,2,7,4.865
mm,1024,2,8,4.935
mm,1024,2,9,4.978
mm,1024,2,10,4.935
mm,1024,2,11,4.936
mm,1024,2,12,4.87
mm,1024,2,13,4.937
mm,1024,2,14,4.923
mm,1024,2,15,4.92
mm,1024,2,16,4.936
mm,1024,2,17,4.949
mm,1024,2,18,4.939
mm,1024,2,19,4.974
mm,1024,2,20,4.887
mm,1024,2,21,4.896
mm,1024,2,22,4.898
mm,1024,2,23,4.943
mm,1024,2,24,4.92
mm,1024,2,25,4.872
mm,1024,2,26,5.005
mm,1024,2,27,4.947
mm,1024,2,28,4.891
mm,1024,2,29,4.908
mm,1024,2,30,4.909
mm,1024,2,31,4.987
mm,1024,2,32,4.953
mm,1024,2,33,4.969
mm,1024,2,34,4.985
mm,1024,2,35,4.91
mm,1024,2,36,4.895
mm,1024,2,37,4.929
mm,1024,2,38,4.895
mm,1024,2,39,4.881
mm,1024,2,40,4.905
mm,1024,2,41,4.911
mm,1024,2,42,4.917
mm,1024,2,43,4.911
mm,1024,2,44,4.917
mm,1024,2,45,4.912
mm,1024,2,46,4.917
mm,1024,2,47,4.917
